Répartition Générale (Pondération),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Liq,DevT,CTerme,Oblig,Actions,HF,MPrem,Autres,Total,,,,,,,,,,,,,,,,,
,CHF,12.1771011,17.96296872,0,0,2.095624025,0.593066589,5.631390442,0.763976382,39.22412725,,,,,,,,,,,,,,,,,
,EUR,5.632118575,-20.29956161,0,32.31615886,24.51346053,1.192299517,3.430069229,3.553684826,50.33822993,,,,,,,,,,,,,,,,,
,USD,1.43454561,2.24539933,2.096975082,,0.019129734,0.479304372,1.175703895,2.661578966,10.11263699,,,,,,,,,,,,,,,,,
,CAD,0.002019245,,,,0.322986583,,,,0.325005828,,,,,,,,,,,,,,,,,
,GBP,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
,Total,19.24578453,-0.091193563,2.096975082,32.31615886,26.95120087,2.264670478,10.23716357,6.979240174,100,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total : 49'097'963 CHF Positions non soldées - Segment Total (244),,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,Répartition  par classes d'actifs,,N° valeur,Code ISIN,N° client,Solde,Poids (%) ,Libellé    ,Devise,Cours (MC),Estimation moy. avec IC,Estimation (CHF) (début),Estimation + int. courus (en MC),Estimation + int. courus (CHF) ,MCR  (MB) (ouv.pos.),MCR (MC) (ouv.pos.),B / P non réalisé Total  (MB) (ouv.pos.),Valeur d'avance (CHF),"Plus-value,  rev. incl.  (CHF)",B / P - Total  (CHF),"Perf. MW (CHF, %)","Perf. MW, pondérée (CHF, %) ",Effet de change MW pondéré (%),"Perf. TW (CHF, %)","Perf. MW, pondérée (MC, %)","Poids, position client (%)  "
,Comptabilisé,Placements à court terme,0,,,534552A0,1100000,2.096975082,"4% Fid. Préavis ANZ Bkg Grp Ltd, Ldn Br - PR Préavis No. 74874",USD,0.93349,1089005.469,1110240,1102927.778,1029572.051,,,,835295.6087,14859.00471,8721.997159,1.36E+00,3.07E-02,0.01805722,1.462553746,0.01264999,15.15937162
,Comptabilisé,Actions,1,12221710,CH0012221716,54570000,1733,0.110831889,ABB LTD (NOM),CHF,31.4,53795.43051,48627.98,54416.2,54416.2,103,103,1737.33,34954.63605,5788.22,5788.22,11.90306486,0.011961776,0,11.90306486,0.01196178,0.719862536
,Comptabilisé,Actions,1,12138600,CH0012138605,54570000,307,0.021328319,ADECCO GROUP (NOM),CHF,34.11,10444.69103,9351.22,10471.77,10471.77,77,77,-3088.42,6209.184468,1120.55,1120.55,11.98292843,2.32E-03,0,11.98292843,0.0023157,0.138529241
,Comptabilisé,Actions,0,478634100,CH0478634105,53233800,26900,0.972494519,AEVIS VICTORIA,CHF,17.75,495463.2369,473440,477475,477475,349,293,344567.5399,0,4035,4035,0.852272727,8.34E-03,0,0.852272727,0.00833862,91.76242678
,Comptabilisé,Actions,0,478634100,CH0478634105,532338A0,9000,0.325369914,AEVIS VICTORIA,CHF,17.75,165768.3692,158400,159750,159750,409,343,122029.3745,0,1350,1350,0.852272727,0.002789873,0,0.852272727,0.00278987,63.94431429
,Comptabilisé,Actions,1,432492460,CH0432492467,54570000,549,0.075364837,ALCON INC,CHF,67.4,37405.48154,34685.82,37002.6,37002.6,89,89,-4348.08,18283.75792,2316.78,2316.78,6.679328902,0.004787794,0,6.679328902,0.00478779,0.489501021
,Comptabilisé,Actions,0,23078320,BMG0415W1010,46178 00,88.313,0.006871031,AM2 EURO A,EUR,38.618,3390.1645,3371.370449,3410.471434,3373.536028,37,37,-5724.868566,0,2.165579593,2.165579593,0.0642344,4.48E-06,1.24E-05,0.0642344,-7.93E-06,0.861042376
