RM Desk;RM Code;External Asset Manager Code;BP Code;BP ISO currency;Container code;Container ISO currency;Asset ID;ISIN;Asset Name;Asset Type;Asset ISO Currency;Bloomberg Ticker;S&P Rating;Asset Country;Asset Industry;Asset Economical Sector;Contract Code;Buy Currency;Sell Currency;FX Contract Operation Type;Postions ID;Position type;Position ISO Currency;Current Account Code;Last booking date;Reference date;Asset Price Date;Maturity date;FX rate container CCY;FX rate BP CCY;FX rate BU CCY;Asset Rate;Average Cost Price;Average Cost Price in container currency;Price;Quantity;Cost amount;Annual coupons amount;P/L in %;Weight;Accrued Interests in position currency;Valuation in position currency;Accrued Interests in container currency;Valuation in container currency;Accrued Interests in BP currency;Valuation in BP currency;Accrued Interests in BU currency;Valuation in BU currency;Total Accrued Interests in container currency;AUM net without accrued interests in container currency;AUM net in container currency;AUM net in BU currency;Quotation Type;Strike Price
GFI Geneva;6862481;6931119;1608856;CHF;01608856.1001;CHF;5789892;;Client à Vue - CCNG - EOQ CHF;Public Money Account;CHF;;;Switzerland;;;;;;;7098909;Current Account;CHF;1608856.010000;;14.04.2023;;;1;1;1;0;1;1;0;34.23;34.23;0;0.941758241758;0.004126567354;0;34.23;0;34.23;0;34.23;0;34.23;0;8295.03;8295.03;8295.03;;
GFI Geneva;6862481;6931119;1707872;CHF;01707872.1001;CHF;5789921;;Client à Vue - CC - EOQ GBP;Public Money Account;GBP;;;United Kingdom;;;;;;;7115556;Current Account;GBP;1707872.127909;;14.04.2023;;;1.11235069;1.11235069445363128492;1.11235069445363128492;0;1;1;0;148.45;148.45;0;0.000004546235;0.000015632018;0;148.45;0;165.13;0;165.1284606;0;165.13;0;10563575.3;10563575.3;10563575.3;;
GFI Geneva;6862481;6931119;1707872;CHF;01707872.1001;CHF;5789892;;Client à Vue - CCNG - EOQ CHF;Public Money Account;CHF;;;Switzerland;;;;;;;7115511;Current Account;CHF;1707872.010000;;14.04.2023;;;1;1;1;0;1;1;0;931578.61;931578.61;0;-0.414108758166;0.088187813647;0;931578.61;0;931578.61;0;931578.61;0;931578.61;0;10563575.3;10563575.3;10563575.3;;
GFI Geneva;6862481;6931119;1707872;CHF;01707872.1001;CHF;5789928;;Client à Vue - CC - EOQ USD;Public Money Account;USD;;;United States of America;;;;;;;7115602;Current Account;USD;1707872.127902;;14.04.2023;;;0.89499996;0.89499995530726256983;0.89499995530726256983;0;1;1;0;1213.78;1213.78;0;0.047930106179;0.000102837341;0;1213.78;0;1086.33;0;1086.3330458;0;1086.33;0;10563575.3;10563575.3;10563575.3;;
GFI Geneva;6862481;6931119;1707872;CHF;01707872.1001;CHF;5789896;;Client à Vue - CCNG - EOQ EUR;Public Money Account;EUR;;;Germany;;;;;;;7115708;Current Account;EUR;1707872.127906;;14.04.2023;;;0.98351545;0.98351545088715083799;0.98351545088715083799;0;1;1;0;4545.05;4545.05;0;-0.813753242567;0.000423164494;0;4545.05;0;4470.13;0;4470.1269001;0;4470.13;0;10563575.3;10563575.3;10563575.3;;
GFI Geneva;6862481;6931119;1707872;CHF;01707872.1001;CHF;6826699;US78463V1070;Uts SPDR Gold Trust (4258191);Fund - Strategy;USD;GLD US Equity;;United States of America;Asset Management & Custody Banks                       ;Investment trusts/funds & provisioning inst. (TKBN-19);;;;;22847166;Security;USD;;;14.04.2023;14.04.2023;;0.89499996;0.89499995530726256983;0.89499995530726256983;0;181.210144615385;168.64;186.36;3250;588932.97;0;0.469957127581;0.051315450934;0;605670;0;542074.63;0;542074.6229309;0;542074.63;0;10563575.3;10563575.3;10563575.3;Price per Piece;
GFI Geneva;6862481;6931119;1707872;CHF;01707872.1001;CHF;14864665;XS1978209002;1.5% NTS Abengoa Abenewco 2 SAU 19-26.10.24 Guarant Sec Pay In Kind R (47666461);Bond/Note - Convertible;EUR;;;Spain;;Energy & water supply (TKBN-92);;;;;14877799;Security;EUR;;;14.04.2023;14.04.2023;26.10.2024;0.98351545;0.98351545088715083799;0.98351545088715083799;1.5;0.727797048182;0.89;0.001;65744;47848.2891357;986.16;0.000002557257;0.000006473187;0;69.53;0;68.38;0;68.3838293;0;68.38;0;10563575.3;10563575.3;10563575.3;Price per Piece;
GFI Geneva;6862481;6931119;1707872;CHF;01707872.1001;CHF;6844405;VGG7238PAA45;Uts Prima Cap Fd Ptg.Pref.Uts -C- CHF (513948);Fund - Other;CHF;PRMCAPC VI Equity;;Virgin Islands  British;;Investment trusts/funds & provisioning inst. (TKBN-19);;;;;18540228;Security;CHF;;;14.04.2023;07.04.2023;;1;1;1;0;241.689485987835;241.69;211.33;1467.689;354725.;0;0.15075600341;0.029361907422;0;310166.72;0;310166.72;0;310166.72;0;310166.72;0;10563575.3;10563575.3;10563575.3;Price per Piece;
GFI Geneva;6862481;6931119;1707872;CHF;01707872.1001;CHF;24734002;XD1259254963;Uts Peters Thematic Uts -C- Series 02282023 One River Risk Resp SP (125925496);Fund - Other;USD;;;Cayman Islands;;Investment trusts/funds & provisioning inst. (TKBN-19);;;;;24737465;Security;USD;;;14.04.2023;01.03.2023;;0.89499996;0.89499995530726256983;0.89499995530726256983;0;1013.509285714286;946.75;1000;350;354728.25;0;-0.257345757247;0.029653784926;0;350000;0;313249.99;0;313249.9843575;0;313249.99;0;10563575.3;10563575.3;10563575.3;Price per Piece;
GFI Geneva;6862481;6931119;1707872;CHF;01707872.1001;CHF;6825954;ES0105200002;Shs Abengoa SA EUR 0.0002 (19739492);Share - Bearer;EUR;ABG SM Equity;;Spain;Construction & Engineering                             ;Building materials & building industry (TKBN-29);;;;;11216669;Security;EUR;;;14.04.2023;14.04.2023;;0.98351545;0.98351545088715083799;0.98351545088715083799;0;0;0;0.005;176286;0;0;-0.000014775265;0.000082065018;0;881.43;0;866.9;0;866.9000239;0;866.9;0;10563575.3;10563575.3;10563575.3;Price per Piece;
