Répartition Générale (Pondération),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Liq,DevT,CTerme,Oblig,Actions,HF,MPrem,Autres,Total,,,,,,,,,,,,,,,,,
,CHF,13.16206289,16.64237792,0,0,2.21021613,0.594990373,6.035932141,0.744623435,39.39020289,,,,,,,,,,,,,,,,,
,EUR,6.319084701,-18.74630814,0,31.23650501,24.14417512,1.20811356,3.690928199,3.596349831,51.44884828,,,,,,,,,,,,,,,,,
,USD,1.363703282,2.042868981,1.131590121,,0.019113972,2.356749989,1.264292336,0.730461718,8.908780399,,,,,,,,,,,,,,,,,
,CAD,0.002005511,,,,0.250162918,,,,0.252168429,,,,,,,,,,,,,,,,,
,GBP,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
,Total,20.84685639,-0.061061243,1.131590121,31.23650501,26.62366814,4.159853922,10.99115267,5.071434984,100,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total : 48'418'238 CHF Positions non soldées - Segment Total (219),,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,Répartition  par classes d'actifs,,N° valeur,Code ISIN,N° client,Solde,Poids (%) ,Libellé    ,Devise,Cours (MC),Estimation moy. avec IC,Estimation (CHF) (début),Estimation + int. courus (en MC),Estimation + int. courus (CHF) ,MCR  (MB) (ouv.pos.),MCR (MC) (ouv.pos.),B / P non réalisé Total  (MB) (ouv.pos.),Valeur d'avance (CHF),"Plus-value,  rev. incl.  (CHF)",B / P - Total  (CHF),"Perf. MW (CHF, %)","Perf. MW, pondérée (CHF, %) ",Effet de change MW pondéré (%),"Perf. TW (CHF, %)","Perf. MW, pondérée (MC, %)","Poids, position client (%)  "
Avoirs en compte,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Comptabilisé,Avoirs en compte,0,,,51921000,81901.94,0.15446571,COMPTE ORDINAIRE EN USD,USD,0.91316,40341.88831,0,81901.94,74789.57553,,,,63993.89448,-660.9396224,-660.9396224,-1.694851896,-0.001371784,-0.0013718,-0.875990868,2.00E-08,2.042899631
,Comptabilisé,Avoirs en compte,0,,,46178 A0,2699.26,0.00509076,COMPTE ORDINAIRE EN USD,USD,0.91316,2508.005705,3143.32074,2699.26,2464.856262,,,,2109.06066,-26.2134322,-26.2134322,-1.043089987,-5.44E-05,-4.86E-05,-1.389047614,-5.80E-06,8.057050702
,Comptabilisé,Avoirs en compte,0,,,46178 00,4915.85,0.009271212,COMPTE ORDINAIRE EN USD,USD,0.91316,4549.159082,4548.14442,4915.85,4488.957586,,,,3840.988213,-59.186834,-59.186834,-1.301340251,-0.000122843,-0.00012284,-1.301340251,0,1.261130298
,Comptabilisé,Avoirs en compte,0,,,15549 00,551190.52,1.039536245,COMPTE ORDINAIRE EN USD,USD,0.91316,1153304.588,2249516.847,551190.52,503325.1352,,,,430671.4588,-15758.92093,-8788.916037,-1.313508724,-0.032707731,-0.01805234,-1.562256976,-0.01465539,11.82121313
,Comptabilisé,Avoirs en compte,0,,,60864 W1,1377884.09,2.83600606,COMPTE ORDINAIRE EN EUR,EUR,0.99656,1375323.888,1389900.276,1377884.09,1373144.169,,,,1304486.96,485.7687182,12925.15598,0.03532409,0.001008216,0.02672425,0.015726279,-0.02571603,40.02111984
,Comptabilisé,Avoirs en compte,0,,,60864 F4,219833.06,0.452467588,COMPTE ORDINAIRE EN EUR,EUR,0.99656,272685.2088,373044.436,219833.06,219076.8343,,,,208122.9926,-7800.882987,1445.26983,-2.760659696,-0.016190777,0.00294062,-1.918726507,-0.0191314,7.369007129
,Comptabilisé,Avoirs en compte,0,,,54617000,3350.1,0.006895285,COMPTE ORDINAIRE EN EUR,EUR,0.99656,-20116.78265,4122.446624,3350.1,3338.575656,,,,3171.646873,-2832.620968,-2832.620968,-38.06913752,-0.005879121,-0.00228176,-28.92194257,-0.00359737,0.334055052
,Comptabilisé,Avoirs en compte,0,,,53896900,179476.65,0.369404706,COMPTE ORDINAIRE EN EUR,EUR,0.99656,99549.74795,3199.139281,179476.65,178859.2503,,,,169916.2878,-231.3381025,1737.132513,-0.238457969,-0.000480144,0.00357974,-21.58082796,-0.00405988,30.93091446
,Comptabilisé,Avoirs en compte,0,,,534552A0,2768.99,0.005699226,COMPTE ORDINAIRE EN EUR,EUR,0.99656,83082.55652,14752.23125,2768.99,2759.464674,,,,2621.491441,-8281.639855,6891.674247,-10.56866648,-0.017188591,0.01414796,-73.79684347,-0.03133655,0.042249334
,Comptabilisé,Avoirs en compte,0,,,53455200,16144.52,0.033229179,COMPTE ORDINAIRE EN EUR,EUR,0.99656,20864.55183,24704.81059,16144.52,16088.98285,,,,15284.53371,-8615.827741,188.0844001,-34.87510138,-0.0178822,0.00030443,-34.87510138,-0.01818663,0.420528065
