Breakdown General (Weighting),,,,,,,,,,,,,,,,,
,,Cash,STerm,Bonds,Equit,HF,Comm,RealEst,Other,Total,,,,,,,
,CHF,0.110275374,,,,,,,,0.110275374,,,,,,,
,USD,0.267008984,,,10.48653802,,5.220008445,,0,15.97355545,,,,,,,
,EUR,0.286030547,,3.944943505,6.118082458,1.818775001,,,,12.16783151,,,,,,,
,GBP,0.054356745,4.556575244,,2.070857237,,,,,6.681789226,,,,,,,
,Miscellaneous,,7.138370577,17.17172678,19.99043206,5.531399648,5.090753761,3.253148947,6.887485964,65.06331774,,,,,,,
,Other,0.003230705,,,,,,,,0.003230705,,,,,,,
,Total,0.720902355,11.69494582,21.11667029,38.66590977,7.350174649,10.31076221,3.253148947,6.887485964,100,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Total : 6'408'085 CHF Non-zero-balance positions - Segment Total (51),,,,,,,,,,,,,,,,,
,,Client No.,ISIN code,Balance,Description,Currency,Price (QC),Weight (%) ,"MW Perf. (QC, %)","MW Perf. (CHF, %)","MW Perf.  weighted  (QC, %)","MW Perf.  weighted  (CHF, %)",Currency Effect MW weighted (%),Valuation + accr. interest (CHF) ,Unrealized P / L Total  (BC) (holding per.) ,Total Purchase Cost (QC) (holding per.),Custodian
Cash,,,,,,,,,,,,,,,,,
,0,K06899YP,,342.43,CURRENT ACCOUNT IN AUD,AUD,0.60458,0.003230705,0,-3.641840524,0,-0.000124578,-0.00012458,207.0263294,,,
,0,K00149ED,,7066.54,CURRENT ACCOUNT IN CHF,CHF,100,0.110275374,0,0,0,0,0,7066.54,,,
,0,K00149ED,,15701.85,CURRENT ACCOUNT IN EUR,EUR,0.9842,0.241160348,-0.20883823,1.035103668,-0.00863521,0.042649443,0.05128466,15453.76077,,,
,0,K06899YP,,2921.48,CURRENT ACCOUNT IN EUR,EUR,0.9842,0.044870199,-0.61245314,1.089725194,-0.00676375,0.012000245,0.01876399,2875.320616,,,
,0,K00149ED,,1830.58,CURRENT ACCOUNT IN GBP,GBP,1.1157,0.031871893,0,0.251594932,0,8.16E-05,8.16E-05,2042.378106,,,
,0,K06899YP,,1291.43,CURRENT ACCOUNT IN GBP,GBP,1.1157,0.022484851,-3.85666672,1.270163327,-0.01654809,0.005174624,0.02172272,1440.848451,,,
,0,K00149ED,,1224.28,CURRENT ACCOUNT IN USD,USD,0.89775,0.017151728,-0.37611199,-1.286763739,-0.00393091,-0.013433891,-0.00950298,1099.09737,,,
,0,K06899YP,,17085.87,CURRENT ACCOUNT IN USD,USD,0.89775,0.239366974,0.00180129,-1.719841961,1.49E-05,-0.014254815,-0.01426972,15338.83979,,,
,0,K00149ED,,25.98,INCOME TO BE RECEIVED IN USD,USD,0.89775,0.000363971,21.18521102,10.15282032,0.00010699,5.25E-05,-5.45E-05,23.323545,,,
,0,K06899YP,,722.81,INCOME TO BE RECEIVED IN USD,USD,0.89775,0.010126312,2.541309,-8.273599918,9.86E-05,-0.000323593,-0.00042219,648.9026775,,,
Short-term instruments,,,,,,,,,,,,,,,,,
,1,K00149ED,LU1873127366,24.837,JPM EUR LIQUID LVNAV A €,EUR,10079.39,3.844930243,0.18010024,-6.469742878,0.00144331,-0.052389918,-0.05383322,246386.4088,91.80943,250250,CLEARSTREAM BANKING LU OMN K080
,1,K06899YP,LU1873127366,9.935,JPM EUR LIQUID LVNAV A €,EUR,10079.39,1.538003059,-0.54482377,-7.184850679,-0.00174908,-0.023307127,-0.02155804,98556.54756,237.9548593,100250,CLEARSTREAM BANKING LU OMN K080
,1,K06899YP,LU1873128927,25.359,JPM LIQUIDITY LVNAV GBP C,GBP,10320.18,4.556575244,1.07788223,-1.704864745,0.01628701,-0.026018203,-0.04230521,291989.2274,1109.89462,260599.55,CLEARSTREAM BANKING LU OMN K080
