Breakdown General (Weighting),,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cash,Forw,STerm,Bonds,Equit,HF,Comm,RealEst,Other,Total,,,,,,,,,,,,,,,
,CHF,0.148479693,,,,,,,,,0.148479693,,,,,,,,,,,,,,,
,GBP,0.155125347,9.316443292,6.33104649,,2.506916946,,,,,18.30953207,,,,,,,,,,,,,,,
,USD,0.097481696,,,0.940571015,10.63417867,,5.399362939,,0,17.07159432,,,,,,,,,,,,,,,
,EUR,0.824003287,-9.383294947,,4.936484624,5.277464171,1.909579715,,,,3.56423685,,,,,,,,,,,,,,,
,Miscellaneous,,,5.026992294,17.36928155,19.14181364,5.786169503,3.231726207,3.296859298,7.050128899,60.90297139,,,,,,,,,,,,,,,
,Other,0.003185677,,,,,,,,,0.003185677,,,,,,,,,,,,,,,
,Total,1.2282757,-0.066851655,11.35803878,23.24633719,37.56037342,7.695749218,8.631089146,3.296859298,7.050128899,100,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Total : 6'177'586 CHF Non-zero-balance positions - Segment Total (54),,,,,,,,,,,,,,,,,,,,,,,,,,
,,Balance,Description,Currency,Client No.,ISIN code,Price (QC),Valuation + accr. interest (CHF) ,Weight (%) ,Unrealized P / L Total  (BC) (holding per.) ,Total Purchase Cost (QC) (holding per.),"MW Perf.  weighted  (QC, %)","MW Perf. (QC, %)",Currency Effect MW weighted (%),"MW Perf. (CHF, %)","MW Perf.  weighted  (CHF, %)",Custodian,"TW Perf. (QC, %)","TW Perf. (CHF, %)",MCR  (CHF),"Security Perf.  (CHF, %)",MCR (QC),"MCR (CHF, %)","MCR (QC, %)",Currency effect MCR (%),Pledge value (CHF)
Cash,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,342.43,CURRENT ACCOUNT IN AUD,AUD,K06899YP,,0.57471,196.7979453,0.003185677,,,0,0,-0.00028976,-8.40253096,-0.000289761,,0,-8.40253096,91,,100,-8.40253096,0,-8.40253096,186.958048
,0,9172.46,CURRENT ACCOUNT IN CHF,CHF,K00149ED,,100,9172.46,0.148479693,,,2.59E-05,0.02052923,0,0.020529234,2.59E-05,,0.017365208,0.017365208,99,,99,-0.23444802,-0.23444802,0,9172.46
,0,8820.63,CURRENT ACCOUNT IN EUR,EUR,K06899YP,,0.95772,8447.693764,0.1367475,,,-0.01356297,-2.72329808,0.01888165,1.102426114,0.005318684,,-6.200779189,-8.501158652,99,,99,-0.33788556,-0.07274495,-0.26533363,8068.581867
,0,44330.09,CURRENT ACCOUNT IN EUR,EUR,K00149ED,,0.95772,42455.81379,0.687255786,,,-0.02960465,-1.77102954,0.03997136,0.635078777,0.010366706,,-24.02666607,-25.90799621,99,,99,-0.85928248,0,-0.85928248,40550.5004
,0,6911.04,CURRENT ACCOUNT IN GBP,GBP,K06899YP,,1.09625,7576.2276,0.122640595,,,-0.033191,-13.18836939,0.01598258,-7.420361382,-0.017208415,,-29.25696224,-30.90859246,100,,99,0.56970386,0,0.56970386,7197.41622
,0,1830.58,CURRENT ACCOUNT IN GBP,GBP,K00149ED,,1.09625,2006.773325,0.032484752,,,0,0,-0.00048921,-1.496091293,-0.00048921,,4.00E-14,-1.496091293,98,,100,-1.49609129,0,-1.49609129,1906.434659
,0,3426.5,CURRENT ACCOUNT IN USD,USD,K06899YP,,0.90188,3090.29182,0.050024266,,,-0.01067954,-2.54694624,-0.01454329,-5.910315186,-0.025222827,,-13.85352912,-6.484893936,95,,96,-4.30740034,-3.64864916,-0.68369689,2935.777229
,0,2454.53,CURRENT ACCOUNT IN USD,USD,K00149ED,,0.90188,2213.691516,0.035834251,,,-0.00396809,-1.00395031,-0.00936486,-3.330038331,-0.013332951,,-0.249704299,-2.336323053,99,,99,-0.86819523,-0.07053246,-0.79822578,2103.006941
