Répartition Générale (Pondération),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Liq,DevT,CTerme,Oblig,Actions,HF,MPrem,Autres,Total,,,,,,,,,,,,,,,,,
,CHF,12.60156412,17.04644642,0,0,2.273242248,0.643102107,6.181440697,0.770477981,39.51627358,,,,,,,,,,,,,,,,,
,EUR,5.910896008,-18.81639254,0,30.65390831,25.37931865,1.271467702,3.753645151,3.435889698,51.58873298,,,,,,,,,,,,,,,,,
,USD,1.186908565,2.094760264,1.160333846,,0.020278284,2.385279448,1.285520059,0.761912971,8.894993438,,,,,,,,,,,,,,,,,
,GBP,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
,Total,19.6993687,0.324814153,1.160333846,30.65390831,27.67283918,4.299849256,11.22060591,4.96828065,100,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total : 47'270'534 CHF Positions non soldées - Segment Total (179),,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,Répartition  par classes d'actifs,,N° valeur,Code ISIN,N° client,Solde,Poids (%) ,Libellé    ,Devise,Cours (MC),Estimation moy. avec IC,Estimation (CHF) (début),Estimation + int. courus (en MC),Estimation + int. courus (CHF) ,MCR  (MB) (ouv.pos.),MCR (MC) (ouv.pos.),B / P non réalisé Total  (MB) (ouv.pos.),Valeur d'avance (CHF),"Plus-value,  rev. incl.  (CHF)",B / P - Total  (CHF),"Perf. MW (CHF, %)","Perf. MW, pondérée (CHF, %) ",Effet de change MW pondéré (%),"Perf. TW (CHF, %)","Perf. MW, pondérée (MC, %)","Poids, position client (%)  "
Avoirs en compte,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Comptabilisé,Avoirs en compte,0,,,15549 00,-19660,-0.038020272,COMPTE REVENUS EN USD,USD,0.91416,-15723.77653,-14033.08202,-19660,-17972.3856,,,,,-3939.303576,169.0844531,-28.07154957,-0.008314942,0.00045858,-28.07154957,-0.00877352,-0.428949438
,Comptabilisé,Avoirs en compte,0,,,532336A0,5000,0.010307901,COMPTE REVENUS EN EUR,EUR,0.97452,4617.413889,0,5000,4872.6,,,,4628.97,-132.9,-132.9,-2.843382917,-0.000280521,-0.00028052,-2.655079413,0,4.343243066
,Comptabilisé,Avoirs en compte,0,,,52122600,1263.98,0.002605796,COMPTE REVENUS EN EUR,EUR,0.97452,1248.177207,1248.066492,1263.98,1231.77379,,,,1170.1851,-16.2927022,-16.2927022,-1.305435432,-3.44E-05,-3.44E-05,-1.305435432,0,0.036409851
,Comptabilisé,Avoirs en compte,0,,,15549 00,-948.25,-0.001954894,COMPTE REVENUS EN EUR,EUR,0.97452,-1019.495475,-1066.748394,-948.25,-924.08859,,,,,-446.9793639,4.3227267,-53.44344403,-0.000943468,1.76E-05,-40.82658378,-0.00096105,-0.022055351
,Comptabilisé,Avoirs en compte,0,,,54570000,2004557.43,4.240606734,COMPTE REVENUS EN CHF,CHF,100,2007963.457,2010016.58,2004557.43,2004557.43,,,,1882862.349,9.37E-11,0,0,0,0,0,0,26.66243712
,Facturé,Avoirs en compte,0,,,54570000,14977.15,0.031683903,COMPTE REVENUS EN CHF,CHF,100,138.6773148,0,14977.15,14977.15,,,,14067.89918,,,,,,,,0.199209718
,Comptabilisé,Avoirs en compte,0,,,52122600,38.55,8.16E-05,COMPTE REVENUS EN CHF,CHF,100,38.55,38.55,38.55,38.55,,,,36.20966028,0,0,0,0,0,0,0,0.001139495
,Comptabilisé,Avoirs en compte,0,,,60864 W1,14313.56,0.027680847,COMPTE ORDINAIRE EN USD,USD,0.91416,13089.46435,13242.90571,14313.56,13084.88401,,,,11197.41467,-158.0217024,-158.0217024,-1.193255512,-0.000333547,-0.00033355,-1.193255512,0,0.385238597
,Comptabilisé,Avoirs en compte,0,,,60864 F4,19651.26,0.03800337,COMPTE ORDINAIRE EN USD,USD,0.91416,16823.55891,14043.63856,19651.26,17964.39584,,,,15373.06632,-199.1924486,-199.1924486,-1.172385265,-0.000420448,-0.00042045,-1.12481233,1.00E-08,0.606880251
,Comptabilisé,Avoirs en compte,0,,,53896900,31375.49,0.060676738,COMPTE ORDINAIRE EN USD,USD,0.91416,20644.45653,0,31375.49,28682.21794,,,,24544.8632,-221.8224676,-221.8224676,-1.073001103,-0.000468215,-0.00046822,-0.767444497,0,4.988851704
,Comptabilisé,Avoirs en compte,0,,,534552A0,25263.77,0.048857346,COMPTE ORDINAIRE EN USD,USD,0.91416,26592.24986,3888.828396,25263.77,23095.12798,,,,19763.70022,1172.595713,1172.595713,4.468244217,0.002475073,-0.00023739,-0.768360661,0.00271247,0.372332316
,Comptabilisé,Avoirs en compte,0,,,53455200,1783.57,0.003449228,COMPTE ORDINAIRE EN USD,USD,0.91416,1631.039094,1650.158964,1783.57,1630.468351,,,,1395.27643,-19.6906128,-19.6906128,-1.193255512,-4.16E-05,-4.16E-05,-1.193255512,0,0.042727266
,Comptabilisé,Avoirs en compte,0,,,532338A0,3.36,6.50E-06,COMPTE ORDINAIRE EN USD,USD,0.91416,3.0726528,3.108672,3.36,3.0715776,,,,2.628508443,-0.0370944,-0.0370944,-1.193255512,-7.83E-08,-8.00E-08,-1.193255512,0,0.001204765
,Comptabilisé,Avoirs en compte,0,,,532336B0,315.8,0.000610722,COMPTE ORDINAIRE EN USD,USD,0.91416,291.5025417,0,315.8,288.691728,,,,247.0485018,7.3917768,7.3917768,2.302235495,1.56E-05,1.56E-05,-0.767380111,1.00E-08,0.229108196
,Comptabilisé,Avoirs en compte,0,,,53233600,12936.71,0.025018171,COMPTE ORDINAIRE EN USD,USD,0.91416,7509.040989,2801.7369,12936.71,11826.22281,,,,10120.31293,-78.0340864,-78.0340864,-1.027216856,-0.000164712,-0.00038194,1.316434382,0.00021723,0.133705579
,Comptabilisé,Avoirs en compte,0,,,53182600,18.05,3.49E-05,COMPTE ORDINAIRE EN USD,USD,0.91416,16.506364,16.69986,18.05,16.500588,,,,14.12040994,-0.199272,-0.199272,-1.193255512,-4.21E-07,-4.20E-07,-1.193255512,0,0.007624102
