Répartition Générale (Pondération),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Liq,DevT,CTerme,Oblig,Actions,HF,MPrem,Autres,Total,,,,,,,,,,,,,,,,,
,CHF,12.58477219,16.7954103,0,0,2.23751595,0.600461513,6.108421889,0.755113467,39.08169531,,,,,,,,,,,,,,,,,
,EUR,6.298074368,-18.84192499,0,31.40120592,24.26702786,1.214206511,3.713504537,3.619664122,51.67175833,,,,,,,,,,,,,,,,,
,USD,1.370218326,2.062489217,1.142458202,,0.019568405,2.379384818,1.272980376,0.741149064,8.988248408,,,,,,,,,,,,,,,,,
,CAD,0.002024582,,,,0.25627337,,,,0.258297952,,,,,,,,,,,,,,,,,
,GBP,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
,Total,20.25508946,0.01597453,1.142458202,31.40120592,26.78038559,4.194052843,11.0949068,5.115926653,100,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total : 47'977'073 CHF Positions non soldées - Segment Total (236),,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,Répartition  par classes d'actifs,,N° valeur,Code ISIN,N° client,Solde,Poids (%) ,Libellé    ,Devise,Cours (MC),Estimation moy. avec IC,Estimation (CHF) (début),Estimation + int. courus (en MC),Estimation + int. courus (CHF) ,MCR  (MB) (ouv.pos.),MCR (MC) (ouv.pos.),B / P non réalisé Total  (MB) (ouv.pos.),Valeur d'avance (CHF),"Plus-value,  rev. incl.  (CHF)",B / P - Total  (CHF),"Perf. MW (CHF, %)","Perf. MW, pondérée (CHF, %) ",Effet de change MW pondéré (%),"Perf. TW (CHF, %)","Perf. MW, pondérée (MC, %)","Poids, position client (%)  "
Avoirs en compte,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Comptabilisé,Avoirs en compte,0,,,54570000,66.3,0.000138191,REVENUS A RECEVOIR EN CHF,CHF,100,81.56846154,0,66.3,66.3,,,,0.00E+00,4.00E-14,0,0,0,0,0,0,0.000884047
,Comptabilisé,Avoirs en compte,0,,,53233700,-26.1,-4.97E-05,COMPTE REVENUS EN USD,USD,0.91353,-0.366817431,0,-26.1,-23.843133,,,,,-23.843133,-0.003133,,-4.95E-05,6.30E-07,0,-5.01E-05,-0.102550584
,Facturé,Avoirs en compte,0,,,53233700,-2.34E+00,-4.46E-06,COMPTE REVENUS EN USD,USD,0.91353,-0.03288708,0,-2.34,-2.1376602,,,,,,,,,,,,-0.00919419
,Comptabilisé,Avoirs en compte,0,,,15549 00,-19660,-0.037434547,COMPTE REVENUS EN USD,USD,0.91353,-14443.29427,-14033.08202,-19660,-17959.9998,,,,,-3926.917776,181.4702531,-27.98328813,-8.15E-03,0.00047614,-27.98328813,-0.00862728,-0.42570468
